id,flags,expiration,cas,value,rev,vbid,dtype
573245768514973697,33554432,0,1228523573110,"{""id"":""573245768514973697"",""text"":""JOB POSTING: Scientific Communications Specialist with Food Science degree at Coca-Cola http://t.co/sBwZeOZEkR Job ID 30662"",""name"":""CFANS Alumni"",""longitude"":null,""hashtags"":[],""latitude"":null,""datetime"":1425507416000,""mentions"":[],""user"":""cfansalumni""}",4,811,1
573245422728318976,33554432,0,1194118817876,"{""id"":""573245422728318976"",""text"":""RT @SezginPay: The Chairman and CEO of #BBVA Mr. Gonzalez says money is data at #MWC15. And he says our best new app is BBVA Wallet. http:/…"",""name"":""Javier López Chicote"",""longitude"":null,""hashtags"":[""BBVA"",""MWC15""],""latitude"":null,""datetime"":1425507333000,""mentions"":[""SezginPay""],""user"":""LopezChicote""}",5,917,1
573246045599244289,33554432,0,1233479385879,"{""id"":""573246045599244289"",""text"":""RT @numerogeek: Google teste des pages de résultats sans metaDescription en Espagne #SEO http://t.co/h7tJwl363G http://t.co/LeYhwB3Xy4"",""name"":""Mickael Barbosa"",""longitude"":null,""hashtags"":[""SEO""],""latitude"":null,""datetime"":1425507482000,""mentions"":[""numerogeek""],""user"":""mickaelbbs""}",3,195,1
573246101572100096,33554432,0,1202577967301,"{""id"":""573246101572100096"",""text"":""RT @SocialMPresence: With 16 #SEO & #Social #Media services you are gauranteed to rank higher in search engines. http://t.co/oZOKoKq3Fo"",""name"":""SubmitGenie"",""longitude"":null,""hashtags"":[""SEO"",""Social"",""Media""],""latitude"":null,""datetime"":1425507495000,""mentions"":[""SocialMPresence""],""user"":""SubmitGenie""}",2,911,1
573245881018945536,33554432,0,1199649829246,"{""id"":""573245881018945536"",""text"":""@WEIRD0G thank you! Some deluded people on twitter all ye have to do is search the hashtag martinez out, its amusing"",""name"":""Craig Powe"",""longitude"":null,""hashtags"":[],""latitude"":null,""datetime"":1425507443000,""mentions"":[""WEIRD0G""],""user"":""CraigPowe_92""}",3,910,1
573245379090595840,33554432,0,1192890581659,"{""id"":""573245379090595840"",""text"":""Your College Search and Knowing Your Options http://t.co/YbNawhHz5e #careeradvice #careerladder"",""name"":""myUVN"",""longitude"":null,""hashtags"":[""careeradvice"",""careerladder""],""latitude"":null,""datetime"":1425507323000,""mentions"":[],""user"":""myUVN""}",5,913,1
573245436640813056,33554432,0,1194765448421,"{""id"":""573245436640813056"",""text"":""\""patients are encouraged to engage in care, keep track of their medical data.\"" @Med_Writer @KevinMD #Nurseup http://t.co/TdqyI03eSW"",""name"":""Andrew Lopez, RN"",""longitude"":null,""hashtags"":[""Nurseup""],""latitude"":null,""datetime"":1425507337000,""mentions"":[""Med_writer"",""kevinmd""],""user"":""nursefriendly""}",5,298,1
573245641251409920,33554432,0,1197023746744,"{""id"":""573245641251409920"",""text"":""#DataMania 2015 what is data-based success? How you define it? #Marketing says, \""When ur customer is delighted 2 c u.\"""",""name"":""yaelol"",""longitude"":null,""hashtags"":[""DataMania"",""Marketing""],""latitude"":null,""datetime"":1425507385000,""mentions"":[],""user"":""yaelol""}",4,299,1
573246246623686656,33554432,0,1236939342610,"{""id"":""573246246623686656"",""text"":""RT @anchacham: 盛り写メコンテストってゆうのに参加してます💓右下の♡のところを押してくれると投票できます☺️登録とかはなにもいりません！\nよろしくお願いします😁💓\nhttp://t.co/T20aIAYgQ9\n\n#RTした人フォローする  \n#1mmでも気になった…"",""name"":""Yui"",""longitude"":null,""hashtags"":[""RTした人フォローする"",""1mmでも気になったらRT"",""相互希望""],""latitude"":null,""datetime"":1425507530000,""mentions"":[""anchacham""],""user"":""MILK_yui_shouna""}",2,296,1
573245990712561664,33554432,0,1231753175180,"{""id"":""573245990712561664"",""text"":""RT @stephenbhull: Still need 3 news reps, 1 comedy ed, 2 lifestyle reps, 1 tech ed, 1 social media writer, 1 vid writer, 1 ents writer http…"",""name"":""Caferati"",""longitude"":null,""hashtags"":[],""latitude"":null,""datetime"":1425507469000,""mentions"":[""stephenbhull""],""user"":""caferati""}",3,297,1
573246069011685377,33554432,0,1235089733887,"{""id"":""573246069011685377"",""text"":""@MrDenmore @ConversationEDU But we’re getting a Great Big New Surveillance Tax aren’t we, Mr D? On every Internet user with meta-data."",""name"":""drmarkhayes"",""longitude"":null,""hashtags"":[],""latitude"":null,""datetime"":1425507487000,""mentions"":[""MrDenmore"",""ConversationEDU""],""user"":""drmarkhayes""}",3,817,1
573245838018912256,33554432,0,1230687048734,"{""id"":""573245838018912256"",""text"":""RT @ELTIEMPO: #TiempoDeCiencia 'Big data' para entender el universo http://t.co/7tO3QmQFbI http://t.co/lZWG3X1UeK"",""name"":"" Bodensiek"",""longitude"":null,""hashtags"":[""TiempoDeCiencia""],""latitude"":null,""datetime"":1425507432000,""mentions"":[""ELTIEMPO""],""user"":""ElBoden""}",4,664,1
573245580538847232,33554432,0,1226706606122,"{""id"":""573245580538847232"",""text"":""RT @ninkibot2014: 【衝撃うけたらRT】\n【乞食速報】プリングルズのスピーカーが絶対貰えるぞ！　いそげー(´・ω・｀) 他　⇒　http://t.co/mQ4J9YA3dW http://t.co/HhMFk43HAE"",""name"":""ヤバいニュース速報"",""longitude"":null,""hashtags"":[],""latitude"":null,""datetime"":1425507371000,""mentions"":[""ninkibot2014""],""user"":""yabainew""}",5,294,1
573245930004201472,33554432,0,1201244941052,"{""id"":""573245930004201472"",""text"":""In search of background music for your video? http://t.co/54eomzsHU1"",""name"":""Factory8o8(3)"",""longitude"":null,""hashtags"":[],""latitude"":null,""datetime"":1425507454000,""mentions"":[],""user"":""factory8o8twit3""}",3,292,1
573245830276124672,33554432,0,1230206835353,"{""id"":""573245830276124672"",""text"":""@WunderlistHelp I don't get your reply. I want to \""search for untagged items\"". How does \""all the App's contain a search field\"" help?"",""name"":""Leonardo Crespo"",""longitude"":null,""hashtags"":[],""latitude"":null,""datetime"":1425507430000,""mentions"":[""WunderlistHelp""],""user"":""theleocrespo""}",4,291,1
573245874232532992,33554432,0,1199346806519,"{""id"":""573245874232532992"",""text"":""I smell a rat. Someone at MTN is forcing their customers to buy more data unscrupulously."",""name"":""Khutšo Makofane"",""longitude"":null,""hashtags"":[],""latitude"":null,""datetime"":1425507441000,""mentions"":[],""user"":""thatishi""}",3,593,1
573246031065829376,33554432,0,1232828839724,"{""id"":""573246031065829376"",""text"":""RT @AP: Deputies search for emu on the run in North Carolina (llamas are so last week): http://t.co/S5LTSTPRAj"",""name"":""♤MEXICAN♤"",""longitude"":null,""hashtags"":[],""latitude"":null,""datetime"":1425507478000,""mentions"":[""AP""],""user"":""TheMexicanGuy_""}",3,592,1
